"id","host_id","host_since","host_is_superhost","host_listings_count","property_type","room_type","price","last_review","number_of_reviews","availability_30","review_scores_rating","City"
24943527,64600166,2016-03-27,0,4,"Private room in apartment","Private room",21,2020-09-30,21,30,97,"Paris"
24725331,30168104,2015-03-28,0,1,"Entire apartment","Entire home/apt",40,2019-08-03,4,5,100,"Paris"
35779707,21208326,2014-09-11,0,0,"Entire apartment","Entire home/apt",150,2020-01-19,4,30,100,"Paris"
41851711,313701990,2019-12-02,0,2,"Entire apartment","Entire home/apt",45,2020-06-01,1,0,100,"Paris"
33234548,9414343,2013-10-14,0,1,"Entire apartment","Entire home/apt",65,2019-07-17,33,1,93,"Paris"
18406013,13013633,2014-03-11,0,117,"Entire apartment","Entire home/apt",39,2020-01-31,3,19,73,"Paris"
45588369,329574073,2020-01-21,0,0,"Entire apartment","Entire home/apt",127,2020-09-28,1,0,80,"Paris"
38318995,291249186,2019-09-03,0,1,"Entire apartment","Entire home/apt",63,2020-10-18,30,0,92,"Paris"
13683003,27516431,2015-02-10,1,2,"Entire apartment","Entire home/apt",190,2019-12-31,15,0,100,"Paris"
21445588,94447930,2016-09-10,0,1,"Entire loft","Entire home/apt",85,2019-05-20,11,0,100,"Paris"
3228619,16014947,2014-05-26,0,1,"Entire apartment","Entire home/apt",80,2020-09-28,13,14,95,"Paris"
14396324,86869983,2016-07-30,0,2,"Entire loft","Entire home/apt",140,2020-01-29,37,23,99,"Paris"
36337865,159922754,2017-11-24,0,0,"Entire apartment","Entire home/apt",50,2020-09-20,4,4,100,"Paris"
5802521,30104008,2015-03-27,1,3,"Entire apartment","Entire home/apt",91,2019-10-16,14,0,99,"Paris"
13502833,43076660,2015-09-01,0,1,"Entire apartment","Entire home/apt",250,2020-01-31,4,29,100,"Paris"
23622088,4978554,2013-02-05,0,1,"Entire apartment","Entire home/apt",60,2019-03-15,22,0,85,"Paris"
38223417,20084581,2014-08-15,1,0,"Entire apartment","Entire home/apt",80,2020-03-04,5,0,100,"Paris"
